"","Metodo","bissecao","","","","","","","","","","","","","","","Metodo","secante","","",""
"X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","","User","System","Elapsed","Cumulative","Spawned","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"2.37574647367001","1.49011611938477e-08","2.14787037045028e-08","6.2722017517419e-09","","","","","","","","","","","","","-534247903.751034","40884341.1009156","0.665597983836502","0.0765269097246063","",""
"2.37574646621943","7.45058059692383e-09","1.07380051517225e-08","3.13610088570608e-09","","","","","","","","","","","","","-880749350.344628","346501446.593594","0.70158433750272","0.39341663602478","",""
"2.37574646249413","3.72529029846191e-09","5.36765587533239e-09","1.56805044531182e-09","","","","","","","","","","","","","5874588801.0811","6755338151.42573","0.442098964204488","1.14992527650319","",""
"2.37574646063149","1.86264514923096e-09","2.68248134815963e-09","7.84025223270607e-10","","","","","","","","","","","","","17384015947.7276","11509427146.6465","1.51927651568745","0.662069523017838","",""
"2.37574645970017","9.31322574615479e-10","1.33989397355094e-09","3.92012611788977e-10","","","","","","","","","","","","","8468842615.45007","8915173332.27752","1.09646886249582","1.05270268171157","",""
"2.37574645923451","4.65661287307739e-10","6.68600286246601e-10","1.96006305932907e-10","","","","","","","","","","","","","-14650913824.164","23119756439.6141","0.4612885750911","1.57804193766277","",""
"2.37574645900168","2.3283064365387e-10","3.3295344259443e-10","9.80031529760582e-11","","","","","","","","","","","","","-31441232598.1588","16790318773.9948","0.190991037183645","0.534022281778419","",""
"2.37574645888526","1.16415321826935e-10","1.65130131790647e-10","4.90015764904302e-11","","","","","","","","","","","","","-43305197109.6937","11863964511.5349","0.411129540601173","0.273961679044735","",""
"2.37574645882705","5.82076609134674e-11","8.12183653664533e-11","2.45007882458154e-11","","","","","","","","","","","","","-21148117800.0158","22157079309.6779","0.734853528631921","1.0477092817055","",""
"2.37574645879795","2.91038304567337e-11","3.92625931766588e-11","1.22503941230578e-11","","","","","","","","","","","","","-71444693021.212","50296575221.1962","1.05454203807241","0.703993160223435","",""
"2.3757464587834","1.45519152283669e-11","1.82847070817616e-11","6.1251970615664e-12","","","","","","","","","","","","","94466346554.9433","165911039576.155","0.627603709124276","1.7562978312034","",""
"2.37574645877612","7.27595761418343e-12","7.795541989708e-12","3.06259853079258e-12","","","","","","","","","","","","","338357271221.279","243890924666.336","1.2586595350565","0.720808876918846","",""
"2.37574645877248","3.63797880709171e-12","2.55107046598368e-12","1.53129926539864e-12","","","","","","","","","","","","","-148090401441.519","486447672662.798","0.0255101786533649","3.28480217439951","",""
"2.37574645877066","1.81898940354586e-12","7.105427357601e-14","7.65649632699904e-13","","","","","","","","","","","","","-158153551513.898","10063150072.3784","0.834341965741743","0.0636289857296951","",""
"2.37574645877157","9.09494701772928e-13","1.2401191185063e-12","3.82824816349805e-13","","","","","","","","","","","","","-147773014365.17","10380537148.7272","0.553858303970401","0.070246500643719","",""
"2.37574645877112","4.54747350886464e-13","5.84421400162682e-13","1.91412408174939e-13","","","","","","","","","","","","","-151914597409.732","4141583044.56171","0.433377959673538","0.0272625745990121","",""
"2.37574645877089","2.27373675443232e-13","2.56683563293336e-13","9.57062040874789e-14","","","","","","","","","","","","","-150096521154.059","1818076255.67331","0.50654892123482","0.012112714150165","",""
"2.37574645877078","1.13686837721616e-13","9.28146448586631e-14","4.78531020437417e-14","","","","","","","","","","","","","-162682724019.012","12586202864.9528","1.62541761737233","0.0773665608370432","",""
"2.37574645877072","5.6843418860808e-14","1.08801856413265e-14","2.39265510218714e-14","","","","","","","","","","","","","-144398330199.487","18284393819.5246","1.20067787289856","0.126624690148873","",""
"2.37574645877069","2.8421709430404e-14","3.01980662698043e-14","1.19632755109359e-14","","","","","","","","","","","","","-92710991390.0103","51687338809.4766","0.404101162228933","0.557510366727088","",""
"2.37574645877071","1.4210854715202e-14","9.76996261670138e-15","5.98163775546789e-15","","","","","","","","","","","","","-105726436649.594","13015445259.5841","1.6275349398464","0.123104926941979","",""
"2.37574645877071","7.105427357601e-15","6.66133814775094e-16","2.99081887773394e-15","","","","","","","","","","","","","-95299819453.7331","10426617195.8613","0.425027410045479","0.109408572394235","",""
"2.37574645877071","3.5527136788005e-15","4.44089209850063e-15","1.49540943886697e-15","","","","","","","","","","","","","-97458875963.0401","2159056509.30704","0.576853658117397","0.0221535133457298","",""
"2.37574645877071","1.77635683940025e-15","2.22044604925031e-15","7.47704719433485e-16","","","","","","","","","","","","","-89255685399.535","8203190563.50511","1.46849247165977","0.0919066446779854","",""
"2.37574645877071","8.88178419700125e-16","8.88178419700125e-16","3.73852359716742e-16","","","","","","","","","","","","","-95145311321.8771","5889625922.34212","0.145235315718066","0.0619013784338513","",""
"2.37574645877071","4.44089209850063e-16","0","1.86926179858371e-16","","","","","","","","","","","","","-95791732674.2589","646421352.381744","1.28427507926014","0.00674819563583748","",""
"","","","","","","","","","","","","","","","","-95062888203.5585","728844470.700394","1.6040258635115","0.00766697166974053","",""
"","User","System","Elapsed","Cumulative","Spawned","","","","","","","","","","","-98719127496.9756","3656239293.41716","0.137230954085619","0.0370367869542726","",""
"Time:","0.0389999999999873","0","0.0390000000002146","0","0","","","","","","","","","","","-98430974019.8261","288153477.149551","0.151914854217288","0.00292746749708594","",""
"","","","","","","","","","","","","","","","","-98582367511.3324","151393491.506256","1.51844675124578","0.00153570557624164","",""
"","","","","","","","","","","","","","","","","-98414143881.9847","168223629.347641","0.829766868737646","0.0017093440303598","",""
"","","","","","","","","","","","","","","","","-98211456976.6215","202686905.363235","1.40318738061958","0.00206378065861994","",""
"","","","","","","","","","","","","","","","","-98707441514.8953","495984538.273865","1.26475564303688","0.00502479378111547","",""
"","","","","","","","","","","","","","","","","-103238911354.073","4531469839.17723","1.35901195225398","0.0438930416811149","",""
"","","","","","","","","","","","","","","","","-37903002024.8022","65335909329.2704","1.6293849141589","1.72376608286904","",""
"","","","","","","","","","","","","","","","","-431645572524.16","393742570499.358","0.647999103669118","0.912189526691645","",""
"","","","","","","","","","","","","","","","","-691629800982.306","259984228458.146","0.986412022928328","0.375900847662863","",""
"","","","","","","","","","","","","","","","","66176872841.6031","757806673823.909","0.154842140459014","11.4512312426389","",""
"","","","","","","","","","","","","","","","","207283964263.171","141107091421.568","0.382844732823759","0.680742921543202","",""
"","","","","","","","","","","","","","","","","106812650197.043","100471314066.128","1.45784406450741","0.940631225615912","",""
"","","","","","","","","","","","","","","","","186386942753.685","79574292556.6423","0.755514898224254","0.42693061746177","",""
"","","","","","","","","","","","","","","","","271987208880.124","85600266126.4392","0.72056010571313","0.314721660915189","",""
"","","","","","","","","","","","","","","","","2036556024143.74","1764568815263.61","0.611288135028495","0.866447470309843","",""
"","","","","","","","","","","","","","","","","11907888749761.1","9871332725617.33","1.56491994960088","0.828974214746119","",""
"","","","","","","","","","","","","","","","","-4291073234737.65","16198961984498.7","0.432345354823181","3.77503740867501","",""
"","","","","","","","","","","","","","","","","-784505553697.952","3506567681039.7","1.35895497422749","4.46978057008094","",""
"","","","","","","","","","","","","","","","","-3444733721656.63","2660228167958.68","0.963548265355572","0.772259449615551","",""
"","","","","","","","","","","","","","","","","-9927320332287.25","6482586610630.62","1.60835782973545","0.653004677359599","",""
"","","","","","","","","","","","","","","","","6242289282875.76","16169609615163","0.712757792777987","2.59033327076342","",""
"","","","","","","","","","","","","","","","","1276997960203.36","4965291322672.4","1.52297233666979","3.88825313540961","",""
"","","","","","","","","","","","","","","","","4659338801941.91","3382340841738.54","1.36831846638555","0.725927215322668","",""
"","","","","","","","","","","","","","","","","34585000700055.4","29925661898113.5","0.838218791092407","0.865278626351612","",""
"","","","","","","","","","","","","","","","","81904879032380.8","47319878332325.4","0.0930986812090406","0.577741874371338","",""
"","","","","","","","","","","","","","","","","77174571270812.4","4730307761568.34","1.35303236652755","0.0612936059595236","",""
"","","","","","","","","","","","","","","","","81600352402512.6","4425781131700.22","1.02578634888432","0.0542372796366004","",""
"","","","","","","","","","","","","","","","","95473419218553.8","13873066816041.2","1.43292846047149","0.145308159376627","",""
"","","","","","","","","","","","","","","","","46647440011359.8","48825979207194","1.34204695986292","1.04670222407283","",""
"","","","","","","","","","","","","","","","","-674365709183573","721013149194933","1.63134800072031","1.06917231907867","",""
"","","","","","","","","","","","","","","","","3391376176660616","4065741885844190","0.988148489305189","1.1988472154238","",""
"","","","","","","","","","","","","","","","","9637582262176204","6246206085515588","1.57238712411979","0.648109236901618","",""
"","","","","","","","","","","","","","","","","-7173106792271597","16810689054447800","0.365335812080282","2.34357155710547","",""
"","","","","","","","","","","","","","","","","-12261164504547838","5088057712276241","1.62817311141049","0.414973448108376","",""
"","","","","","","","","","","","","","","","","-5701143858319861","6560020646227977","1.39020926234748","1.15064990627359","",""
"","","","","","","","","","","","","","","","","32623170946160100","38324314804479960","0.776563696737147","1.17475750189118","",""
"","","","","","","","","","","","","","","","","81122293643942080","48499122697781984","0.641602244994658","0.597851965461577","",""
"","","","","","","","","","","","","","","","","311685507075736704","230563213431794624","0.118532432134272","0.73973029928456","",""
"","","","","","","","","","","","","","","","","275732380253542880","35953126822193824","0.669899136892095","0.130391384534287","",""
"","","","","","","","","","","","","","","","","319414685367230336","43682305113687456","1.24215166670202","0.136757347469688","",""
"","","","","","","","","","","","","","","","","291036753148923392","28377932218306944","0.0459472461277104","0.0975063524151741","",""
"","","","","","","","","","","","","","","","","289946732234601728","1090020914321664","1.21382977381256","0.0037593833388669","",""
"","","","","","","","","","","","","","","","","291079637136008960","1132904901407232","0.703922790106988","0.00389207885702384","",""
"","","","","","","","","","","","","","","","","290663797473412160","415839662596800","1.45818581909927","0.00143065516315233","",""
"","","","","","","","","","","","","","","","","290944251238054592","280453764642432","1.59340684686058","0.000963943310269983","",""
"","","","","","","","","","","","","","","","","287639462358636384","3304788879418208","0.690274290484443","0.0114893445159403","",""
"","","","","","","","","","","","","","","","","288638380623378624","998918264742240","0.689332743685266","0.00346079500094497","",""
"","","","","","","","","","","","","","","","","1019974378742877824","731335998119499264","1.63193308624619","0.717014087178223","",""
"","","","","","","","","","","","","","","","","505818956686226240","514155422056651584","1.14347620000458","1.01648112483771","",""
"","","","","","","","","","","","","","","","","-697817443547227136","1203636400233453312","0.365818336731315","1.72485857349021","",""
"","","","","","","","","","","","","","","","","-1264020508876416512","566203065329189376","1.42572230858945","0.447938195110841","",""
"","","","","","","","","","","","","","","","","-502396472298503296","761624036577913216","0.459055401471866","1.51598205515541","",""
"","","","","","","","","","","","","","","","","-140712809283266208","361683663015237120","1.23949046366348","2.57036772172702","",""
"","","","","","","","","","","","","","","","","-715140423941350528","574427614658084352","1.04212720358458","0.803237511721466","",""
"","","","","","","","","","","","","","","","","-3748261398362323968","3033120974420973568","1.6281387178137","0.809207430342556","",""
"","","","","","","","","","","","","","","","","4678777276404825088","8427038674767149056","1.46788152210474","1.80111986036713","",""
"","","","","","","","","","","","","","","","","81866539748037345280","77187762471632519168","0.624582462593974","0.942848723168161","",""
"","","","","","","","","","","","","","","","","58826658001354629120","23039881746682716160","1.36674327036407","0.391657159006928","",""
"","","","","","","","","","","","","","","","","74640044433360338944","15813386432005709824","0.190374735172003","0.21186196433905","",""
"","","","","","","","","","","","","","","","","77199165290561880064","2559120857201541120","0.918398527092523","0.0331495923248591","",""
"","","","","","","","","","","","","","","","","7.3970846584513e+19","3228318706048876544","1.13514094978613","0.0436431223260432","",""
"","","","","","","","","","","","","","","","","90878458470797819904","16907611886284816384","1.59308784257893","0.186046420359537","",""
"","","","","","","","","","","","","","","","","32060915722952536064","58817542747845279744","0.10814526013129","1.83455592023959","",""
"","","","","","","","","","","","","","","","","27777357196221919232","4283558526730616832","0.728572555445474","0.154210441852735","",""
"","","","","","","","","","","","","","","","","32807572993932693504","5030215797710774272","1.03212862084458","0.15332483748923","",""
"","","","","","","","","","","","","","","","","15704209610249926656","17103363383682766848","1.60652286068747","1.08909418609133","",""
"","","","","","","","","","","","","","","","","63540595083138121728","47836385472888193024","1.52458949190946","0.752847615139547","",""
"","","","","","","","","","","","","","","","","9.53664505653588e+20","8.9012391057045e+20","1.53477298720477","0.933372171548326","",""
"","","","","","","","","","","","","","","","","-1.33198519355855e+23","1.34152183861508e+23","1.62050916138705","1.00715972302294","",""
"","","","","","","","","","","","","","","","","2.40242713738789e+24","2.53562565674374e+24","1.60923849301334","1.05544331284098","",""
"","","","","","","","","","","","","","","","","3.64441862191915e+26","3.62039435054527e+26","1.56989133220397","0.99340792761035","",""
"","","","","","","","","","","","","","","","","1.48092597173279e+28","1.4444817855136e+28","0.324327691921191","0.975390946667949","",""
"","","","","","","","","","","","","","","","","1.85704922097236e+28","3.76123249239571e+27","0.223652825250258","0.202538115302421","",""
